horizon,info_set,k,model,n,RMSE,MAE,R2,skill_vs_zero,skill_vs_train_mean,skill_vs_market_only,bootstrap_delta,CI_low,CI_high,Holm_p,significant_single_test,significant_after_adjustment,verdict
1,market_only,5,ridge,40,1.5207413952744304,0.8240911963213289,-0.27680902362434456,-0.06047669154382018,-0.034056688969238635,-0.1064454054292463,,,,,,,
1,market_only,5,elastic_net,40,1.5118238343419894,0.8125083431161887,-0.2618786235778834,-0.05425810267416642,-0.027993025837468988,-0.09995725803482736,,,,,,,
1,market_only,5,random_forest,40,1.3831803148130382,0.8032154204468072,-0.05626479891505287,0.03545041344996813,0.05948055269127972,-0.006360127343603139,,,,,,,
1,market_only,5,xgboost,40,1.696633071712217,0.991049007141865,-0.5892457702465104,-0.18313332710228036,-0.15365753965936135,-0.23441886485672292,,,,,,,
1,market_only,5,mlp,40,1.652430484939297,0.9163661435404166,-0.5075148700157819,-0.1523090113282195,-0.12360116014321587,-0.20225840076009116,,,,,,,
1,market_only,10,ridge,40,1.4873381701801731,0.8072935021263463,-0.2213345835688858,-0.03718322314417888,-0.011343538364412264,-0.08214222998672449,,,,,,,
1,market_only,10,elastic_net,40,1.515557122957788,0.8480346872611696,-0.26811846924936567,-0.0568614812447521,-0.03053154558646476,-0.10267348582275204,,,,,,,
1,market_only,10,random_forest,40,1.395902671436576,0.7886533427954561,-0.07578500005445665,0.026578581130091483,0.05082974723092892,-0.01561652890937082,,,,,,,
1,market_only,10,xgboost,40,1.7320499698034295,0.9591207818085346,-0.6562887130252693,-0.20783101405235893,-0.17773992505872216,-0.2601871278167158,,,,,,,
1,market_only,10,mlp,40,1.4891967965773971,0.8343541846544322,-0.2243889300227595,-0.038479321204420325,-0.012607346309876588,-0.0834945102915865,,,,,,,
1,market_only,20,ridge,40,1.4763655218226643,0.8560972574746893,-0.20338057407909815,-0.02953153570816691,-0.003882479919467663,-0.07415886319058007,,,,,,,
1,market_only,20,elastic_net,40,1.4977824309961603,0.8938422601466511,-0.23854751338398517,-0.044466443808899525,-0.018445309771221385,-0.089741158002272,,,,,,,
1,market_only,20,random_forest,40,1.362348065171046,0.7828176836266663,-0.024687330001663232,0.049977613963088974,0.07364583230786548,0.008796786890968411,,,,,,,
1,market_only,20,xgboost,40,1.5086666323673248,0.8304528223547797,-0.2566136639803318,-0.05205645345554699,-0.025846227025735802,-0.09766017344849676,,,,,,,
1,market_only,20,mlp,40,1.6292784030765954,0.9637341815287982,-0.4655674446139586,-0.1361640946103586,-0.10785846701466473,-0.18541364682447203,,,,,,,
1,disaster_only,5,ridge,40,1.4514099680423405,0.887121233870554,-0.1630420327233859,-0.0121289824595745,0.013086517829698496,-0.05600195767989713,,,,,,,
