event_date,event_date_precision,date_is_exact,disaster_type,disaster_group,disaster_subgroup,financial_damage,damage_source,population_affected,total_deaths,deaths_available,no_homeless,homeless_available,mag_area_km2,mag_wind_kph,mag_area_available,mag_wind_available,dis_no,event_name,log_financial_damage,log_population_affected,disaster_Drought,disaster_Flood,disaster_Other,disaster_Storm,asof_date,days_since_last_disaster,disasters_trailing_365d,date,aspi_close,trading_volume,price_source,volume_source,log_return,lag_return_t-1,lag_return_t-2,lag_return_t-3,lag_return_t-5,sma_5,ema_5,price_to_sma_5,price_to_ema_5,sma_10,ema_10,price_to_sma_10,price_to_ema_10,sma_20,ema_20,price_to_sma_20,price_to_ema_20,rolling_std_5,rolling_std_10,rolling_std_20,rolling_std_30,squared_return,garch_cond_vol,vol_ratio_1_30,vol_ratio_5_30,vol_ratio_10_30,vol_cv_30,log_vol_change_1,date_macro,gdp_growth_pct,inflation_cpi_pct,gdp_current_usd,date_gspc,sp500_log_return,damage_to_gdp,Y1_aspi_log_return,Y1_horizon_end_date,Y2_abnormal_volume,Y3_recovery_days,Y1_car_5,Y1_car_10,hz_precip_max3d,hz_precip_mean3d,hz_precip_spread3d,hz_districts_wet,hz_wind_max3d,hz_precip_anom,di_districts_hit,di_affected_log,di_houses_destroyed_log,di_houses_damaged_log,di_deaths_log,di_records,di_available,fx_logret_1,fx_logret_5,fx_vol_30,days_to_election,election_within_5d,log_damage_x_flood
2000-09-18,exact_day,1.0,Flood,Natural,Hydrological,0.0,missing_zero_filled,100000.0,2.0,1.0,,0.0,8000.0,,1.0,0.0,2000-0613-LKA,,0.0,11.51293546492023,0.0,1.0,0.0,0.0,2000-09-17,520.0,0,2000-09-15,496.8,,local_archive,missing,-0.0006036824813579186,-0.0012062727638815322,-0.005610112890766788,-0.0003995205806237549,0.004597709248629328,499.48,498.51914708550146,-0.004764955553775874,-0.0028467253340181964,498.43,498.86888752265173,-0.0026683787091467126,-0.0035457964344818294,498.475,499.7186796762801,-0.002758413160138473,-0.005240307762712559,0.0036384864352015526,0.0030000695230818293,0.004415850352049076,0.004389366090180428,3.6443253829845374e-07,,,,,,,,,,,2000-09-15,-0.010221718934521251,,2.7688254183145258,2000-09-25,,2.0,0.024260485931253625,0.05692354997602943,24.619999999999997,15.572857142857144,5.716425789732934,0.0,9.89,0.6424429766365816,7.0,10.548310710265884,0.6931471805599453,3.828641396489095,1.0986122886681098,16.0,1.0,0.0012746974320005163,0.003189795368100081,0.0011625302314538686,22.0,0.0,0.0
2000-11-18,exact_day,1.0,Flood,Natural,Hydrological,5609000.0,emdat_cpi_adjusted,300000.0,3.0,1.0,,0.0,7600.0,,1.0,0.0,2000-0741-LKA,,15.539883186775358,12.611541086966115,0.0,1.0,0.0,0.0,2000-11-17,61.0,1,2000-11-17,477.7,,local_archive,missing,-0.014959763715390399,-0.005347606326595353,-0.0018444517986477488,-0.005513030808649363,-0.004260937764486876,488.73999999999995,488.23490115578863,-0.007856938249375944,-0.006830525937195464,491.0400000000001,490.93357406616735,-0.012504072987944204,-0.012290000898072972,496.395,495.4794833164383,-0.023156961693812428,-0.021352010875658634,0.0019323267533202211,0.002748049194835149,0.0034767710432872215,0.005610544280311554,0.00022379453042031114,,,,,,,,,,,2000-11-17,-0.0033576006531063148,,-6.678571309447586,2000-11-27,,90.0,-0.07203286544195688,-0.09432678240116973,120.78999999999999,75.19571428571429,31.51134285573099,5.0,13.13,10.486888696472441,6.0,9.75010324563677,6.385194398997726,5.579729825986222,0.0,23.0,1.0,0.006222795438269086,0.007472014838700836,0.0030087311087344344,-39.0,0.0,15.539883186775358
2000-12-24,exact_day,1.0,Storm,Natural,Meteorological,0.0,missing_zero_filled,375000.0,5.0,1.0,,0.0,,150.0,0.0,1.0,2000-0831-LKA,Cyclone 'BOB 06' (4B),0.0,12.834683971615659,0.0,0.0,0.0,1.0,2000-12-23,36.0,2,2000-12-22,449.3,,local_archive,missing,0.011415904615787151,-0.004492370538105083,0.004042224232957293,-0.0076216463991795455,0.011527505171067414,447.26000000000005,445.6047859580209,-0.006841658095962266,-0.003152537859306692,444.85,445.4743314437409,-0.0014611666853996397,-0.0028606169958454997,442.71999999999997,449.5289266375681,0.003342970726418537,-0.011854468804550433,0.00975021136089916,0.007957928354281007,0.010934343773222884,0.009467669674755702,0.0001303228781967504,,,,,,,,,,,2000-12-22,0.02409435072348548,,0.3345603655922254,2001-01-04,,6.0,-0.0004452359824218957,0.009965756269627132,26.759999999999998,8.182857142857143,8.658211351631685,0.0,10.82,-0.016788482834994567,13.0,13.804972224271314,9.204221690968005,11.196034262467789,2.0794415416798357,100.0,1.0,-0.006064299967511365,-0.0018231545615150252,0.0031088120103358813,-75.0,0.0,0.0
2001-09-01,month_only,0.0,Drought,Natural,Climatological,0.0,missing_zero_filled,1000000.0,,0.0,,0.0,,,0.0,0.0,2001-9498-LKA,,0.0,13.815511557963774,1.0,0.0,0.0,0.0,2001-08-31,251.0,3,2001-08-31,407.3,45529800.0,local_archive,local_archive,0.01210339586883753,0.008234606730841146,0.019226496623830518,0.003582398918246864,0.0049013383300883055,394.34000000000003,395.9359682287903,0.020439214890703328,0.016325952401158084,390.02,394.39746282497936,0.03174196195066914,0.020290539187803658,397.775,398.11600200709444,0.011627176167431363,0.010760677720332401,0.006565041103013543,0.007513177369801571,0.009800339145934018,0.008202294846528572,0.0001464921915577934,,-0.7795590441905397,1.0630585060295097,0.7589832987183527,1.1447365151868971,-2.7252549503775243,2001-07-01,6.00003315828934,6.17627591012045,16595882818.6857,2001-08-31,0.004021844613325859,0.0,2.3069359910085026,2001-09-10,-0.08821137024686221,4.0,0.0012268434859880144,0.0031866677291548045,4.21,2.1,1.175428999698975,0.0,9.73,-0.17048929663608547,9.0,14.061491343181242,0.6931471805599453,1.0986122886681098,0.0,68.0,1.0,0.0,0.0005557099337229548,0.0010032774905812407,95.0,0.0,0.0
2002-12-16,exact_day,1.0,Flood,Natural,Hydrological,0.0,missing_zero_filled,500000.0,2.0,1.0,,0.0,14150.0,,1.0,0.0,2002-0788-LKA,,0.0,13.122365377402328,0.0,1.0,0.0,0.0,2002-12-15,471.0,0,2002-12-13,781.3,1454700.0,local_archive,local_archive,-0.003577364234177745,-0.0019111938033798802,-0.0025425897247143654,-0.0015224565234551268,-0.002276752817531455,787.1600000000001,787.2184484306083,-0.0038873926520657243,-0.003961350800181562,791.8100000000001,790.6999456059223,-0.00973718442555671,-0.00834696605532792,795.4300000000001,795.2130352158831,-0.014243868096501355,-0.013974915807141053,0.0005639949342998948,0.0034518247907562517,0.006477491817311836,0.007429106310440918,1.2797534863974123e-05,0.0052654822485196815,-0.22290290361117726,-0.2581351463872117,-0.3247753635594617,0.595565587753389,-0.2765143895413702,2002-07-01,-1.54540813366026,14.15845579912,15749753804.8344,2002-12-13,-0.013511798295627903,0.0,2.477689632693808,2002-12-24,-0.5306346918472747,0.0,0.024776896326938077,0.0450470255193854,77.67,42.01857142857143,23.402832042704738,2.0,10.24,1.0426929944239456,9.0,12.061029532289096,4.343805421853684,6.0473721790462776,0.0,59.0,1.0,0.0,-0.0005169294506424947,0.0007626564109964378,-376.0,0.0,0.0
2003-05-17,exact_day,1.0,Flood,Natural,Hydrological,50753000.0,emdat_cpi_adjusted,695000.0,235.0,1.0,,0.0,13490.0,,1.0,0.0,2003-0229-LKA,,17.74248130714281,13.451668563394815,0.0,1.0,0.0,0.0,2003-05-16,152.0,1,2003-05-13,844.8,8720800.0,local_archive,local_archive,0.0005920312765426831,-0.00943069585279771,-0.00011732269621011736,0.005411141305925364,0.0119862396316238,847.22,844.5549615108591,-0.0034465664172235178,-0.00030188859515201116,835.95,835.9094867516312,0.009988635683952252,0.0100375858646784,818.785,817.5386466611101,0.031162026661455622,0.03273405293827425,0.00864828515309361,0.0071681353731533805,0.00823184908587514,0.0101687417879553,3.505010324047589e-07,0.009696814787668805,0.42332970800978553,0.3005957487412234,0.011239975509186984,0.7718762990966825,0.664641164227994,2002-07-01,-1.54540813366026,14.15845579912,15749753804.8344,2003-05-16,-0.0025066462131605963,0.0032224630701478854,-1.0951186698002648,2003-05-26,-0.8247156612376652,1.0,-0.011069564916548603,0.011299555253933466,48.81999999999999,27.035714285714285,19.145923723813777,0.0,10.42,0.5087282116166989,16.0,13.239132565958048,8.969796305981806,10.137966613514083,5.883322388488279,517.0,1.0,0.0,0.0005142710321623215,0.0006379192178597038,321.0,0.0,17.74248130714281
2004-12-11,exact_day,1.0,Flood,Natural,Hydrological,0.0,missing_zero_filled,200000.0,6.0,1.0,,0.0,23460.0,,1.0,0.0,2004-0652-LKA,,0.0,12.206077645517674,0.0,1.0,0.0,0.0,2004-12-10,574.0,0,2004-12-10,1521.06,2704200.0,local_archive,local_archive,-0.0013796639750791914,0.002939003052456533,-9.876445672748167e-05,0.009758821447407164,0.005289894509322696,1510.534,1512.5899317338312,0.008358633436917007,0.006988059383717271,1501.0040000000001,1503.395057375693,0.014760786780048551,0.013146872159343292,1485.4395,1495.8544905038686,0.025393494652592885,0.01825412141988081,0.004587719836092288,0.005902291970179199,0.007264259309142173,0.00857006416145367,1.9034726841313156e-06,0.0071063944364965215,-0.22708418125215757,-0.14750698350448732,-0.2438196854121406,0.5720866669534623,-0.2139769660100401,2004-07-01,5.9402690780223,6.31463787051174,18881765437.2151,2004-12-10,-0.00104321848187489,0.0,0.8212352873879919,2004-12-20,-0.4715255079837839,0.0,0.011959285399947547,-0.022586270038322497,30.509999999999998,14.731428571428571,7.2887960335742425,0.0,8.61,-0.28954199559064064,16.0,12.545867926148318,6.8658910748834385,8.448057452581375,2.3978952727983707,123.0,1.0,9.53061711468201e-05,0.002672012277810989,0.0019265858861613186,-231.0,0.0,0.0
2004-12-26,exact_day,1.0,Other,Natural,Geophysical,2243914000.0,emdat_cpi_adjusted,1019306.0,35399.0,1.0,480000.0,1.0,,,0.0,0.0,2004-0659-LKA,,21.531487499897434,13.834633542590982,0.0,0.0,1.0,0.0,2004-12-25,15.0,1,2004-12-23,1572.55,8839400.0,local_archive,local_archive,-0.00514397574717255,0.02509300020129582,0.0013827355044046764,0.0013586296184395384,0.0010872698810104394,1545.274,1550.4622285753048,0.02289949872967534,0.019476625014234195,1534.943,1537.2632954905416,0.029784167881152568,0.028229844969797746,1516.2585000000001,1522.0597971017862,0.042473958101471476,0.03850059177030807,0.010321714568680668,0.007741056032999204,0.0067962610891220444,0.007357482698361169,2.646048648749939e-05,0.02049746325318045,2.511502406983718,0.3250889560115193,0.16345318665469644,0.6698570535854033,2.062827835049734,2004-07-01,5.9402690780223,6.31463787051174,18881765437.2151,2004-12-23,0.0004629157457973036,0.11884026456431598,1.3429667434170414,2005-01-04,-0.43991276178932226,12.0,-0.030868043394916486,-0.0066994444408900716,24.189999999999998,6.918571428571428,8.483977896740475,0.0,9.1,-0.691869903681766,19.0,13.801868932658726,10.953382174406809,10.793803850638048,10.34051592510041,136.0,1.0,-0.0023929181076127494,-0.00858783903928105,0.0018553491514470275,-246.0,0.0,0.0
2005-11-21,exact_day,1.0,Flood,Natural,Hydrological,0.0,missing_zero_filled,145000.0,6.0,1.0,,0.0,29870.0,,1.0,0.0,2005-0646-LKA,,0.0,11.884495917930655,0.0,1.0,0.0,0.0,2005-11-20,330.0,2,2005-11-18,2328.92,21862300.0,local_archive,local_archive,-0.07096608786830536,-0.020275418856836737,0.04669117747797887,-0.015072569542260859,-0.004172663523091911,2481.0379999999996,2493.8402149456606,0.007723380294860638,0.002550197489087358,2490.445,2488.158965773882,0.003916970661869579,0.00483933478196108,2478.3869999999997,2475.2501091940117,0.008801288902822835,0.010079745361212034,0.026839368164279124,0.018999221888768295,0.014663581273591915,0.012991413759313331,0.0050361856273320365,0.0286801069467998,0.16152787894791265,0.02170853025322117,0.013185432201738179,0.5354619402339472,-0.443913527306894,2005-07-01,5.44506127885352,7.57592582995856,20662525941.2985,2005-11-18,0.004391670522724698,0.0,5.316107134688225,2005-11-28,0.39398780669085975,90.0,-0.02217701529781092,-0.06261787336111573,111.94999999999999,77.96571428571428,30.496610662576284,5.0,12.13,2.0981096626398803,17.0,12.586671125908211,6.261491684321042,9.032886946579088,2.70805020110221,267.0,1.0,0.0,-0.001965602598459067,0.001439654733443916,-4.0,1.0,0.0
2006-10-26,exact_day,1.0,Flood,Natural,Hydrological,4791000.0,emdat_cpi_adjusted,333002.0,25.0,1.0,,0.0,6890.0,,1.0,0.0,2006-0602-LKA,,15.38224992458993,12.715906777931009,0.0,1.0,0.0,0.0,2006-10-25,339.0,1,2006-10-25,2507.42,19334700.0,local_archive,local_archive,0.0015206457491475911,0.012872022074342187,0.0072605033379267115,-0.002527664193824894,-0.00614669037984081,2468.552,2476.20625475466,0.014201847884913965,0.011066826599246626,2467.599,2462.111221314215,0.014593538091075553,0.01685495696804229,2427.5090000000005,2426.6013777516255,0.03134942033170618,0.03173517618280064,0.00758119178633979,0.00590943559943086,0.006238700924528981,0.00701222291331509,2.3123634944006385e-06,0.010762531831178455,0.069752399429166,-0.20248383915245838,-0.10955451964025364,0.4748113778600197,0.025697245436597467,2006-07-01,6.24174804376447,11.6396860971118,24405791044.7761,2006-10-25,0.003507733603266655,0.00019630586819374912,-0.2744517691729472,2006-11-02,-0.3532357178506773,6.0,-0.00452482225066183,0.028515682842910724,119.5,85.24857142857142,16.914582888316055,7.0,8.0,3.4654630950570535,17.0,12.888474804553939,6.535241271013659,8.047829357457841,2.9444389791664403,544.0,1.0,-0.0009398496932423847,-0.006093292815660049,0.004651689676199028,-343.0,0.0,15.38224992458993
